composition,phases,HV,yield_strength_MPa,ref,source
Al0.8Co1Cr1Cu1Fe1Ni1,FCC+BCC,270.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.5Cr1Fe1Mo0.5Ni1,FCC+BCC,801.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.667Co1Cr0.667Fe0.667Mo0.333Ni0.667,FCC+BCC,741.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr0.5Fe0.5Mo0.25Ni0.5,FCC+BCC,586.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.5Ni1,FCC+BCC,796.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.5Ni1,FCC+BCC,755.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe0.6Mo0.5Ni1,FCC+BCC,754.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.667Co0.667Cr0.667Fe1Mo0.333Ni0.667,FCC+BCC,635.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co0.5Cr0.5Fe1Mo0.25Ni0.5,FCC+BCC,639.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.5,FCC+BCC,857.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.5Ni1,FCC+BCC,730.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.5Ni0.5,FCC+BCC,708.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.667Co0.667Cr0.667Fe0.667Mo0.333Ni1,FCC+BCC,586.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co0.5Cr0.5Fe0.5Mo0.25Ni1,FCC+BCC,395.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,BCC,,1110.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Si1,FCC+BCC,,2411.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Si0.2,BCC,,1265.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Si0.4,BCC,,1481.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Si0.6,BCC,,1834.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Si0.8,FCC+BCC,,2179.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Co1Cr1Cu0.5Fe1Ni1Ti0.5,FCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Co1Cr1Cu0.75Fe1Ni1Ti0.5,FCC,,750.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu0.5Fe1Ni1Ti0.5,FCC+BCC,,1580.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.75Co1Cr1Cu0.25Fe1Ni1Ti0.5,FCC+BCC,,1900.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1Ti0.5,FCC,,700.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Ti1,FCC+BCC,,1860.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Ti0.5,FCC+BCC,178.0,2260.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.667Co0.667Cr0.667Fe0.667Ni0.667Ti1,FCC+BCC,,2220.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Ti1V1Zr1,FCC+BCC,780.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Fe1Ni1Ti1V1Zr1,BCC,790.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Fe1Ni1Ti1V1Zr1,BCC,800.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1Ti1V1Zr1,FCC+BCC,680.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mo1Ni1Ti1V1Zr1,FCC+BCC,850.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1Ti1V1Zr1,FCC+BCC,630.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Mo1Ni1Ti1V1Zr1,FCC+BCC,790.0,,Kaggle-HEA-Dataset-2024,kaggle
Cu1Fe1Ni1Ti1V1Zr1,FCC+BCC,590.0,,Kaggle-HEA-Dataset-2024,kaggle
Fe1Mo1Ni1Ti1V1Zr1,FCC+BCC,740.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.1Co1Cr1Fe1Mn1Ni1,FCC,180.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.2Co1Cr1Fe1Mn1Ni1,FCC,171.0,220.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.38Co1Cr1Fe1Mn1Ni1,FCC,182.0,244.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.43Co1Cr1Fe1Mn1Ni1,FCC+BCC,183.0,285.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.49Co1Cr1Fe1Mn1Ni1,FCC+BCC,220.0,331.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.56Co1Cr1Fe1Mn1Ni1,FCC+BCC,278.0,526.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.62Co1Cr1Fe1Mn1Ni1,FCC+BCC,405.0,833.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.68Co1Cr1Fe1Mn1Ni1,FCC+BCC,486.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.75Co1Cr1Fe1Mn1Ni1,FCC+BCC,530.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.81Co1Cr1Fe1Mn1Ni1,FCC+BCC,539.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.88Co1Cr1Fe1Mn1Ni1,FCC+BCC,533.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.95Co1Cr1Fe1Mn1Ni1,FCC+BCC,535.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.8Cr0.8Fe0.8Mn0.8Ni0.8,BCC,539.0,,Kaggle-HEA-Dataset-2024,kaggle
