composition,phases,HV,yield_strength_MPa,ref,source
Al0.125Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,FCC+BCC,,1862.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,BCC,,1465.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.667Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,FCC+BCC,,1461.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,FCC+BCC,,1312.0,Kaggle-HEA-Dataset-2024,kaggle
Cu1Mn1Ni1Zn0.333,FCC,147.0,215.0,Kaggle-HEA-Dataset-2024,kaggle
Cu1Mn1Ni1Zn0.25,FCC,109.0,140.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.111Cu1Mn1Ni1,FCC+BCC,241.0,515.0,Kaggle-HEA-Dataset-2024,kaggle
Cu1Mn1Ni1Sn0.111,FCC+BCC,318.0,630.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.053Cu1Mn1Ni1,FCC,166.0,330.0,Kaggle-HEA-Dataset-2024,kaggle
Cu1Mn1Ni1Sn0.053,FCC+BCC,205.0,380.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1,FCC,,388.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,BCC,,1620.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Fe1Ni1,FCC+BCC,,948.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Mo1Nb1Ti1,BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Mo1Nb1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Mo1Nb1Ti1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Mo1Nb1Ti0.2,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Mo1Nb1Ti0.4,BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Mo1Nb1Ti0.5,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Cr1Hf1Nb1Ti1Zr1,FCC+BCC,,1375.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ti1V1Zr1,FCC+BCC,,1170.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.26Nb1Ta1Ti0.578Zr0.416,BCC,,845.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.5Mo0.5Nb1Si0.1Ti1Zr1,FCC+BCC,442.0,1350.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.5Mo0.5Nb1Si0.3Ti1Zr1,FCC+BCC,494.0,1370.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.5Mo0.5Nb1Si0.5Ti1Zr1,FCC+BCC,524.0,1600.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.5Mo0.5Nb1Si0.7Ti1Zr1,FCC+BCC,580.0,1550.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.5Mo0.5Nb1Si0.9Ti1Zr1,FCC+BCC,640.0,1650.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.5Mo0.5Nb1Ti1Zr1,FCC+BCC,400.0,1150.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Si0.3Ti1V0.5,FCC+BCC,,1617.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Si0.5Ti1V0.5,FCC+BCC,,1787.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Si0.7Ti1V0.5,FCC+BCC,,2134.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Ti1V0.5,BCC,,1260.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Si0.5Ti1V1Zr1,FCC+BCC,,1540.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,,905.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,,890.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,,828.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,,827.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,,820.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,,803.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.2Mo1Ta1Ti1V1,BCC,,1021.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.6Mo1Ta1Ti1V1,BCC,,962.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Mo1Ta1Ti1V1,BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Mo1Ta1Ti1V1,BCC,,1221.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Zr1,BCC,365.0,1315.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Ta0.4Ti1Zr1,FCC+BCC,,400.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Ta0.5Ti1Zr1,FCC+BCC,,700.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Ta0.6Ti1Zr1,FCC+BCC,,800.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Ta1Ti1Zr1,BCC,,1500.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti0.25W1,BCC,478.3,1109.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti0.5W1,BCC,481.2,1211.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti0.75W1,BCC,495.6,1304.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1W1,BCC,507.5,1455.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1W1,BCC,,996.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1V1,BCC,,1400.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1V1W1,BCC,,1515.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1W1,BCC,,1343.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1Zr1,FCC+BCC,,1390.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1Zr1,FCC+BCC,,1375.0,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ta1Ti1V1,BCC,,965.0,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ta1Ti1V1W1,BCC,,1420.0,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ta1V1W1,BCC,,1530.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Cr0.5Nb0.5Ti1V0.25,BCC,,1240.0,Kaggle-HEA-Dataset-2024,kaggle
Cr0.5Fe1Mn0.625Ni0.375,FCC+BCC,,219.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.05Cr0.5Fe1Mn0.625Ni0.375,FCC+BCC,,354.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.15Cr0.5Fe1Mn0.625Ni0.375,FCC+BCC,,550.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Cr0.5Fe1Mn0.625Ni0.375,FCC+BCC,,994.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.35Cr0.5Fe1Mn0.625Ni0.375,FCC+BCC,,942.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.304Co1Cr1Fe1Ni1,FCC+BCC,,175.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,FCC+BCC,,1380.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.515Cr0.515Fe1Ni1,FCC+BCC,,796.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.343Co0.514Cr0.514Fe1Ni0.514,FCC+BCC,,866.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.343Co0.514Cr0.514Fe1Ni0.514,FCC+BCC,,1166.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr0.429Fe0.571Mo0.286Ni0.571,FCC,,350.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Ni1,FCC,,155.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mo0.083Ni1,FCC+BCC,,198.8,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mo0.208Ni1,FCC+BCC,,254.7,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mo0.304Ni1,FCC+BCC,,305.3,Kaggle-HEA-Dataset-2024,kaggle
Al0.229Co0.486Cr0.4Cu0.229Fe0.486Mo0.003Ni1Ti0.029W0.003,FCC+BCC,231.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.278Co0.694Cr0.222Fe0.417Ni1Ti0.167,FCC+BCC,343.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.885Cr1Fe1Ni1,FCC+BCC,,770.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Ni1,FCC+BCC,,843.2,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr0.889Fe0.889Ni0.889,FCC+BCC,,1044.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr0.828Fe0.828Ni0.828,FCC+BCC,,906.8,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr0.767Fe0.767Ni0.767,FCC+BCC,,1122.8,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Cr0.5Fe1Ni1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al0.545Cr0.545Fe0.515Ni1Ti0.273,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Cr1Fe1Ni1V0.5W1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al0.515Cr0.515Cu0.515Fe0.515Ni1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al0.304Co1Cr1Fe1Ni1,FCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Ni1,FCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al0.511Co0.511Cr0.511Fe0.511Ni1,FCC+BCC,,545.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.465Co0.465Cr0.465Fe0.465Ni1,FCC+BCC,,545.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.451Co0.451Cr0.451Fe0.451Ni1,FCC+BCC,,545.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.242Co0.515Cr0.515Cu0.242Fe0.515Ni1,FCC+BCC,,357.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Fe1Ni1,FCC+BCC,,790.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Cr0.5Fe0.5Ni1,FCC+BCC,,774.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.429Cr0.476Fe0.476Ni1,FCC+BCC,,610.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.364Cr0.455Fe0.455Ni1,FCC+BCC,,479.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.304Cr0.435Fe0.435Ni1,FCC+BCC,,461.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Cr0.417Fe0.417Ni1,FCC,,441.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1,FCC,130.2,210.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1,FCC+BCC,415.0,1314.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.1Co1Cr1Fe1Mn1Ni1,FCC+BCC,432.0,1631.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.3Co1Cr1Fe1Mn1Ni1,FCC+BCC,511.0,1836.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Fe1Mn1Ni1,FCC+BCC,553.0,1932.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.7Co1Cr1Fe1Mn1Ni1,FCC+BCC,622.0,2230.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mn1Ni1,FCC+BCC,684.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Ni1,FCC,94.7,,Kaggle-HEA-Dataset-2024,kaggle
Al0.3Co1Cr1Fe1Ni1,FCC,117.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.6Co1Cr1Fe1Ni1,FCC+BCC,228.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.9Co1Cr1Fe1Ni1,FCC+BCC,511.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.9Co1Cr1Fe1Ni1Ti0.5,FCC+BCC,623.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1,FCC,,216.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Mo0.042Ni1,FCC,,225.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Mo0.087Ni1,FCC+BCC,,330.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Mo0.136Ni1,FCC+BCC,,560.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Mo0.19Ni1,FCC+BCC,,765.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Ni1,FCC+BCC,1183.0,1750.0,Kaggle-HEA-Dataset-2024,kaggle
Cr1Cu1Fe1Mn1Ni1,FCC+BCC,,628.0,Kaggle-HEA-Dataset-2024,kaggle
Cr1Mo1Nb1Ta1V1W1,FCC+BCC,704.6,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1,FCC+BCC,160.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1,FCC,160.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Fe1Ni1,FCC+BCC,458.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.667Cr0.667Cu0.667Fe0.667Ni0.667,FCC+BCC,498.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.5Cr0.5Cu0.5Fe0.5Ni0.5,FCC+BCC,560.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.544C0.001Co0.69Fe1Ni0.69,FCC+BCC,,1202.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Ti1V0.5,BCC,,1260.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ta1Ti1Zr1,BCC,,1512.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ti1Zr1,BCC,,1575.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Ta1Ti1Zr1,BCC,,1600.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1V1W1,BCC,,1515.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1W1,BCC,,1343.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Si0.3Ti1V0.5,FCC+BCC,,1617.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Si0.5Ti1V0.5,FCC+BCC,,1787.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Si0.7Ti1V0.5,FCC+BCC,,2134.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ti1Zr1,BCC,,1719.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1,FCC,,210.0,Kaggle-HEA-Dataset-2024,kaggle
Co0.5Fe0.5Mo0.1Ni1V0.25,FCC,,419.0,Kaggle-HEA-Dataset-2024,kaggle
Co0.5Fe0.5Mo0.1Ni1V0.25,FCC,,350.0,Kaggle-HEA-Dataset-2024,kaggle
Co0.5Fe0.5Mo0.1Ni1V0.25,FCC,,252.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,FCC+BCC,519.0,1631.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,FCC+BCC,493.0,1209.0,Kaggle-HEA-Dataset-2024,kaggle
Cr1Cu1Fe1Mn1Ni1,FCC+BCC,,615.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.5Cr0.5Fe0.5Ni0.5,FCC+BCC,581.7,1241.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.556Cr0.556Fe0.556Ni0.556Ti0.111,FCC+BCC,605.5,1324.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.667Cr0.667Fe0.667Ni0.667Ti0.333,FCC+BCC,641.7,1566.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.833Cr0.833Fe0.833Ni0.833Ti0.667,FCC+BCC,639.6,1503.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Ti1,FCC+BCC,703.0,1448.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.667Co0.833Cr0.833Fe0.833Ni0.833Ti1,FCC+BCC,856.9,1272.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1W1Zr1,FCC+BCC,,1550.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ta1Ti1W1Zr1,FCC+BCC,,1637.0,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ti1Zr1,BCC,372.0,1223.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ti1Zr1,BCC,351.0,1000.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Ni1,FCC,168.9,163.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Ni1W0.2,FCC,244.0,335.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Ni1W0.5,FCC+BCC,357.9,556.0,Kaggle-HEA-Dataset-2024,kaggle
Cr1Fe1Mo1Nb1V1,FCC+BCC,826.0,2663.0,Kaggle-HEA-Dataset-2024,kaggle
Cr1Fe1Mo1Nb1Ti1,FCC+BCC,792.0,1647.0,Kaggle-HEA-Dataset-2024,kaggle
Fe1Mo1Nb1Ti1V1,FCC+BCC,699.0,1707.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Nb1Ta1Ti1,BCC,,1152.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.25Ti1V0.5Zr0.5,BCC,338.3,1160.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.25Nb0.125Ti1V0.5Zr0.5,BCC,332.4,1115.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.25Nb0.25Ti1V0.5Zr0.5,BCC,322.5,1065.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.25Nb0.375Ti1V0.5Zr0.5,BCC,318.9,1025.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.25Nb0.5Ti1V0.5Zr0.5,BCC,310.4,980.0,Kaggle-HEA-Dataset-2024,kaggle
Co0.476Cr0.476Fe0.476Nb0.095Ni1,FCC+BCC,,170.0,Kaggle-HEA-Dataset-2024,kaggle
Co0.476Cr0.476Fe0.476Nb0.19Ni1,FCC+BCC,,640.0,Kaggle-HEA-Dataset-2024,kaggle
Co0.25Cr0.25Fe1Mn1,FCC,,213.0,Kaggle-HEA-Dataset-2024,kaggle
Co0.25Cr0.25Fe1Mn1,FCC,,393.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.143Cr0.343Fe1Mn0.8Ni0.571,FCC,,280.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.143Cr0.343Fe1Mn0.8Ni0.571,FCC,,1253.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mo0.15Ni1,FCC,,489.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr0.091Nb0.727W0.212,FCC+BCC,1084.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr0.917Ni1Ta0.5Ti0.75,FCC+BCC,1011.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.947Co0.158Mo1Ni0.289W0.237,FCC+BCC,725.0,,Kaggle-HEA-Dataset-2024,kaggle
Co0.043Nb0.638Ni1Ta0.255Ti0.191,FCC+BCC,815.0,,Kaggle-HEA-Dataset-2024,kaggle
Co0.273Cr0.477Nb0.477Ni0.045Ti1,FCC+BCC,422.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr0.487Nb0.231Ta0.026Ti0.821,FCC+BCC,856.0,,Kaggle-HEA-Dataset-2024,kaggle
Co0.564Nb0.795Ta0.103Ti1W0.103,FCC+BCC,277.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cu1Fe1Ni0.5,FCC+BCC,430.9,929.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cu1Fe1Ni0.8,FCC+BCC,420.0,1021.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cu1Fe1Ni1,FCC+BCC,391.4,994.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.667Co0.667Cu0.667Fe0.667Ni1,FCC+BCC,323.8,680.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co0.5Cu0.5Fe0.5Ni1,FCC+BCC,299.2,544.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.333Co0.333Cu0.333Fe0.333Ni1,FCC,279.6,268.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Cr1Fe1Mn1Ni1,FCC+BCC,353.0,1091.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.6Cr1Fe1Mn1Ni1,FCC+BCC,361.0,1130.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.7Cr1Fe1Mn1Ni1,FCC+BCC,375.0,1170.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.8Cr1Fe1Mn1Ni1,FCC+BCC,386.0,1200.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr0.2Fe1Ni1Si0.2,FCC,130.1,225.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.077Fe0.077Mg0.077Si0.231Zn0.077,FCC,,422.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.077Mg0.077Ni0.077Si0.231Zn0.077,FCC,,534.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr0.077Cu0.077Mg0.077Si0.231Zn0.077,FCC,,490.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.077Mg0.077Mn0.077Si0.231Zn0.077,FCC,,622.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.077Mg0.077Si0.231Zn0.077Zr0.077,FCC+BCC,,565.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mo0.2Ni1,FCC,,400.0,Kaggle-HEA-Dataset-2024,kaggle
Cr1Fe1Ni1Ti0.2,FCC+BCC,362.2,2297.94,Kaggle-HEA-Dataset-2024,kaggle
Cr1Fe1Ni1Ti0.3,FCC+BCC,510.3,2364.63,Kaggle-HEA-Dataset-2024,kaggle
Cr1Fe1Ni1Ti0.4,BCC,600.3,2475.41,Kaggle-HEA-Dataset-2024,kaggle
Cr1Fe1Ni1Ti0.5,BCC,709.6,2380.79,Kaggle-HEA-Dataset-2024,kaggle
Cr1Fe1Ni1Ti0.6,BCC,718.2,1923.15,Kaggle-HEA-Dataset-2024,kaggle
Co0.2Cr0.2Fe1Mn0.6,FCC+BCC,296.0,,Kaggle-HEA-Dataset-2024,kaggle
B0.006Co0.201Cr0.201Fe1Mn0.604,FCC+BCC,282.0,,Kaggle-HEA-Dataset-2024,kaggle
B0.012Co0.202Cr0.202Fe1Mn0.607,FCC+BCC,306.0,,Kaggle-HEA-Dataset-2024,kaggle
B0.035Co0.207Cr0.207Fe1Mn0.621,FCC+BCC,452.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.186Cr0.149Fe1Mn0.861Ni0.28,FCC+BCC,,159.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.186Cr0.149Fe1Mn0.861Ni0.28,FCC+BCC,,355.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Ti1Zr1,FCC+BCC,211.0,773.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Sc1Ti1Zr1,FCC+BCC,233.0,1001.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Ti1Y1Zr1,FCC+BCC,241.0,554.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Sc1Ti1Y1Zr1,FCC+BCC,256.0,793.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.562Co0.938Cr0.312Fe0.312Ni1,FCC+BCC,305.4,1129.4,Kaggle-HEA-Dataset-2024,kaggle
Al0.581Co0.968Cr0.323Fe0.323Mo0.032Ni1,FCC+BCC,357.3,1159.7,Kaggle-HEA-Dataset-2024,kaggle
Al0.6Co1Cr0.333Fe0.333Mo0.067Ni1,FCC+BCC,362.6,1250.8,Kaggle-HEA-Dataset-2024,kaggle
Al0.6Co1Cr0.333Fe0.333Mo0.1Ni0.967,FCC+BCC,359.7,1198.3,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1,FCC,,300.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1V0.042,FCC+BCC,,303.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1V0.087,FCC+BCC,,307.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1V0.136,FCC+BCC,,330.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1V0.19,FCC+BCC,,616.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,359.0,1155.0,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ta1Ti1Zr1,BCC,358.0,1144.0,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ta1Ti1,BCC,246.0,620.0,Kaggle-HEA-Dataset-2024,kaggle
Ta1Ti1Zr1,FCC+BCC,485.0,,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ti1Zr1,BCC,295.0,956.0,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ta0.667Ti0.667Zr0.333,FCC+BCC,294.0,822.0,Kaggle-HEA-Dataset-2024,kaggle
Nb0.333Ta0.667Ti0.667Zr1,FCC+BCC,489.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.774Fe1Mn0.903Ni0.484,FCC+BCC,310.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.774Fe1Mn0.903Ni0.484Ti0.026,FCC+BCC,330.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.774Fe1Mn0.903Ni0.484Ti0.097,FCC+BCC,500.0,,Kaggle-HEA-Dataset-2024,kaggle
Cr1Cu1Fe1Ni1Ti1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Cr1Cu1Fe1Ni1,FCC,226.0,,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ta1Ti1Zr1,BCC,,1512.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Ta1Ti1Zr1,BCC,,1600.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ti1Zr1,BCC,,1351.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ta1Zr1,BCC,,1524.0,Kaggle-HEA-Dataset-2024,kaggle
